Timestamp,Gender,Age,Family size(range),Father's education,Mother's education,Father's employment,Mother's employment,Travel time to university,hobby,Have any free time activities?,Go out with family?,Health,Absences in the last semester ,Inter Board,higher education,Plan to work after studies.,Any Addiction?,% scored in last semester's midterm?,% scored in quizzes last semester?,% scored in sessional marks last semester ?,Did you clear the course ( grade) ? or failed?
2019/02/21 3:09:06 pm GMT+5,Female,18,5,Well educated,Well educated,Employed,Housewife,30 mins or less.,Art,Yes,Not at all.,Healthy,Minimum,Federal,"Yes, i want to study more.",Yes.,No,80,70,80,A
2019/02/21 3:19:48 pm GMT+5,Male,18,10,Well educated,uneducated,Employed,Housewife,more than 30 mins.,Gaming,Yes,Not at all.,Healthy,Minimum,Sindh,"Nope, not really.",Yes.,Yes,66,56,66,B
2019/02/21 3:39:51 pm GMT+5,Female,24,10,Well educated,Highschool,Employed,Housewife,more than 30 mins.,reading novels/comics,Maybe,often.,Healthy,Maximum Allowed.,Balochistan,"Yes, i want to study more.",Yes.,No,62,58,62,A
2019/02/21 3:40:51 pm GMT+5,Male,24,5,Highschool,uneducated,Employed,Housewife,more than 30 mins.,Sports,Yes,Not at all.,Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,70,66,70,B
2019/02/21 5:01:57 pm GMT+5,Male,18,5,Highschool,Well educated,Employed,Housewife,30 mins or less.,Sports,Yes,"yes, a lot.",Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,76,72,76,A
2019/02/21 7:28:33 pm GMT+5,Female,18,more than 10.,Highschool,uneducated,Employed,Housewife,30 mins or less.,Gaming,Maybe,often.,Healthy,Minimum,Balochistan,"Yes, i want to study more.",Yes.,No,55,58,55,A
2019/02/21 9:30:49 pm GMT+5,Female,18,5,Well educated,Well educated,Employed,Housewife,more than 30 mins.,gardening,Yes,"yes, a lot.",Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,88,83,88,B
2019/02/21 9:43:50 pm GMT+5,Female,23,5,Well educated,Highschool,unemployed,Housewife,30 mins or less.,Gaming,Yes,"yes, a lot.",Healthy,Maximum Allowed.,Sindh,"Yes, i want to study more.",Yes.,Yes,63,60,63,B
2019/02/22 2:45:46 am GMT+5,Female,23,5,Highschool,Highschool,Employed,Housewife,more than 30 mins.,reading novels/comics,Yes,"yes, a lot.",Healthy,none,any international board,"Yes, i want to study more.",Yes.,No,75,75,75,A
2019/02/22 10:14:25 am GMT+5,Female,23,10,Well educated,Highschool,Employed,Housewife,more than 30 mins.,Art,Maybe,"yes, a lot.",Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,75,75,75,A
