Gender,Age,Family size(range),Father's education,Mother's education,Father's employment,Mother's employment,Travel time to university,hobby,Have any free time activities?,Go out with family?,Health,Absences in the last semester ,Inter Board,higher education,Plan to work after studies.,Any Addiction?,% scored in last semester's midterm?,% scored in quizzes last semester?,% scored in sessional marks last semester ?,class
1,1,1,1,1,1,2,1,3,1,2,1,2,2,1,1,2,8,7,8,
2,1,2,1,2,1,2,2,4,1,2,1,2,1,2,1,1,6.6,5.6,6.6,
1,7,2,1,3,1,2,2,2,3,3,1,3,4,1,1,2,6.2,5.8,6.2,
2,7,1,3,2,1,2,2,1,1,2,1,2,1,1,1,2,7,6.6,7,
2,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,2,7.6,7.2,7.6,
1,1,3,3,2,1,2,1,4,3,3,1,2,4,1,1,2,5.5,5.8,5.5,
1,1,1,1,1,1,2,2,5,1,1,1,2,1,1,1,2,8,8.3,8.8,
1,6,1,1,3,2,2,1,4,1,1,1,3,1,1,1,1,6.3,6,6.3,
1,6,1,3,3,1,2,2,2,1,1,1,1,3,1,1,2,7.5,7.5,7.5,
1,6,2,1,3,1,2,2,1,3,1,1,2,1,1,1,2,7.5,7.5,7.5,
2,5,1,1,2,1,2,2,1,1,3,1,1,1,1,1,1,9,9,9,
1,6,2,2,2,1,2,2,2,1,3,3,3,4,1,1,2,7.3,7.3,7.3,
1,5,1,1,3,1,2,1,3,1,3,3,1,1,1,1,2,6,6,6,
1,2,2,2,2,1,2,2,2,1,3,1,2,1,1,1,1,8.2,8.2,8.2,
1,1,1,1,1,1,2,1,4,2,3,1,3,1,1,1,2,7.5,7.5,7.5,
2,1,1,1,3,1,2,1,1,1,3,1,1,1,1,1,2,5.9,5.9,5.9,
1,1,1,1,2,1,2,1,3,1,3,1,2,4,1,1,2,9.2,9.2,9.2,
2,2,2,1,3,1,2,1,1,1,3,1,3,3,1,1,1,8.6,8.6,8.6,
2,5,1,1,3,1,2,1,2,2,2,3,3,1,1,1,1,7.4,7.4,7.4,
1,1,1,1,3,1,2,1,2,1,2,3,3,1,1,1,2,3.9,3.9,3.9,
2,6,3,3,3,1,2,1,1,1,1,1,3,1,2,1,1,8.9,8.9,8.9,
1,3,1,1,2,1,2,2,5,1,3,1,1,2,2,2,2,8.5,8.5,8.5,
2,5,2,1,1,1,2,1,4,1,2,1,2,3,1,1,2,7.7,7.7,7.7,
1,3,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,4.8,4.8,4.8,
2,4,1,1,3,1,2,1,1,1,3,1,2,3,1,1,2,6.3,6.3,6.3,
1,5,3,1,3,1,2,1,3,2,3,1,3,1,1,1,2,7,7,7,
1,4,1,3,1,2,1,1,2,2,2,2,3,3,1,2,1,3.5,3.5,3.5,
2,3,1,1,1,1,2,1,1,2,3,1,3,1,1,1,2,5.5,5.5,5.5,
1,3,1,1,3,2,2,1,3,1,3,1,3,1,1,1,2,7.3,7.3,7.3,
1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,7.3,7.3,7.3,
2,4,1,1,1,1,2,1,1,1,3,1,3,3,2,1,2,8.3,8.3,8.3,
1,4,1,1,1,1,2,2,3,3,1,1,2,1,1,1,2,8.1,8.1,8.1,
2,2,1,1,1,1,2,1,4,3,3,1,2,1,1,1,2,8.7,8.7,8.7,
2,5,1,1,2,1,2,1,1,1,1,2,3,3,2,2,2,7.5,7.5,7.5,
1,2,1,1,1,1,2,2,2,1,3,1,2,1,1,1,2,7.8,7.8,7.8,
1,4,1,3,3,1,2,2,3,1,3,1,2,1,1,1,1,7.5,7.5,7.5,
1,5,1,1,1,1,2,2,2,1,3,1,1,1,1,2,2,4,4,4,
2,6,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,5,5,5,
2,5,1,1,1,1,2,1,1,3,3,1,2,2,1,1,2,7.6,7.6,7.6,
1,4,1,1,1,1,2,1,1,3,3,1,2,1,1,1,2,5,5,5,
1,3,2,1,1,1,2,1,2,2,2,1,2,1,1,1,2,7.5,7.5,7.5,
1,1,2,1,1,1,1,1,1,2,3,1,2,1,1,1,1,7.6,7.6,7.6,
2,1,1,1,1,1,2,2,1,3,3,1,2,1,1,1,2,5.2,5.2,5.2,
2,1,1,1,3,1,2,1,4,3,1,1,3,3,2,2,1,7.7,7.7,7.7,
2,7,1,1,1,1,2,2,3,1,1,1,2,1,1,1,1,8.6,8.6,8.6,
2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,6.6,6.6,6.6,
1,1,2,1,1,1,2,2,3,1,3,1,1,1,1,1,2,7.9,7.9,7.9,
1,1,1,1,3,1,2,1,4,1,2,2,3,1,1,1,2,7,7,7,
1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,7.9,7.9,7.9,
2,1,1,1,3,1,2,1,2,1,2,1,2,1,1,1,2,7.6,7.6,7.6,
2,1,3,3,2,1,2,1,1,3,2,1,2,1,1,1,1,5,5,5,
2,1,3,3,2,1,2,1,1,3,2,1,2,1,1,1,1,5.5,5.5,5.5,
1,1,1,1,1,1,2,2,3,1,1,1,2,1,1,1,2,8,8,8,
